,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
30,11512,16351,10764,6596,22167,9872,7523,13632,10684,6830,10814,8257,8867,23341,15186,13419,2850,9239,23536,18719,7498,3860,4171,2941,5423,10117,6864,11205,4124,14456,0,12752,5094,11318,8535,12205,1108,12524,10146,4346,9194,2822,13020,12888,5852,21777,16979,10775,9456,8004,9583,10518,3901,11199,11958,18541,14344,8945,14429,10447,12855,9697,1715,13589,10640,10970,11748,11504,7038,1166,10982,12956,13758,23012,13672,8014,17994,4432,11966,19712,11182,8038,11962,10086,3539,14788,19575,10030,16917,10791,7022,11564,2175,11593,12429,11548,9716,9390,11852,22966
31,1421,4805,3453,7556,8980,3538,5888,13606,2507,10441,2539,5864,8460,9661,6492,5177,12901,4613,9832,6962,6528,10040,10628,10780,8894,4296,7492,4716,10663,3766,12811,0,8602,6666,4773,1606,12477,2460,7885,9978,4400,12707,1105,7311,7794,7670,16954,3224,4043,5175,7033,3582,11910,4079,8507,7601,2798,6398,2909,2741,7278,4277,12244,13564,3921,2969,5334,7700,5714,12357,8696,1443,5302,8993,5176,5396,7054,10889,1082,7390,2980,4950,6203,4086,10213,14762,6814,4030,4561,6886,6263,6114,11754,1964,12403,2182,7812,4069,7199,8658
32,9134,15036,5692,4293,17833,5394,3045,9504,8036,8604,6724,6225,10641,18514,15280,13514,4222,6454,20519,15815,5502,2879,5869,5835,982,10211,5152,6728,3239,9979,5100,8666,0,11413,7158,9415,5656,8047,5669,1994,6746,3310,9258,8411,1375,16523,12852,5940,6771,5162,5105,6041,3998,6721,6064,15874,12127,4468,11691,7580,8378,5219,3927,9462,8939,6148,11842,5498,7132,4040,6855,9664,13852,18534,13766,8108,15907,6131,9176,15235,6704,8132,7485,5608,4543,10661,17483,5553,15230,10885,7116,11659,5992,7513,8301,7468,5238,5332,11946,18488
33,5379,7291,7135,9381,11145,7363,10742,21147,5552,6644,6200,6464,4162,12319,4418,2742,11357,5611,12514,8647,7694,8496,7706,9236,11954,3907,7333,10379,9119,9547,11267,6618,11377,0,4907,6071,10933,8486,13756,10773,5565,11163,6886,13396,12135,10755,24495,6864,5871,8261,13426,7366,12699,9240,13038,10185,6948,12790,7250,5315,13363,8132,10700,21105,3628,6609,1628,14092,6452,10812,13226,6418,3080,12372,3092,5201,9638,7967,5833,10546,7633,5393,12288,7871,8669,22303,8553,7815,6846,1221,6437,542,10210,6089,19944,6044,13325,7742,830,12619
34,3533,8372,2228,4030,12172,2457,4608,12327,2286,6224,2315,1733,5529,12622,8019,6068,8685,704,12793,9864,2716,5824,6411,6563,7615,2138,3680,5472,6447,7702,8594,4773,7302,4871,0,4226,8260,4668,7510,6698,659,8490,5041,8440,6392,10632,15675,2240,964,2223,7068,3230,10027,4333,8132,10562,6365,6433,6450,1960,8407,3225,8027,12285,2661,2471,4966,7735,1498,8140,8320,4976,6406,11954,6321,1200,10015,6672,3987,10969,3892,735,7560,3151,5997,13483,9718,3095,8128,4343,2047,5116,7538,3158,11124,3113,6968,2835,5404,11619
35,668,4432,4317,8192,8232,4401,6751,14470,2143,9830,3403,5904,7809,8682,5005,4039,12291,4866,8853,5924,6878,9430,10017,10169,9758,3685,7449,6386,10053,4501,12201,1606,9466,5592,4162,0,11866,3898,8924,11706,4821,12096,1840,8350,8658,6691,17818,4087,4173,6038,8688,4446,13633,5733,9546,6622,2425,8053,2510,2591,8317,5140,11633,14428,3270,3833,4260,9355,5104,11746,9734,971,3815,8014,3689,4786,6075,10278,972,7029,4417,4340,7242,4950,9603,15626,5778,4894,4060,5812,5653,5040,11144,2078,13267,2296,8850,4933,6125,7679
36,11207,16046,10458,6533,21861,10686,8135,14286,10378,6448,10508,7951,8485,23035,14880,13114,3359,8934,23230,18413,7193,3796,3788,2613,6035,9811,6558,11817,4061,15068,1132,12446,5706,11013,8230,11899,0,13136,10758,4958,8888,3332,12714,13500,6464,21471,17633,10470,9150,7941,10194,11422,4410,11810,12612,18235,14038,9557,14124,10141,13467,10520,1904,14243,10334,10665,11442,12158,6732,1676,11636,12650,13452,23624,13366,7708,17689,4049,11661,20324,12085,7732,12574,10698,3233,15442,19269,10642,16612,10485,6717,11259,1448,11288,13083,11243,10328,9666,11546,19293
37,4002,8596,2926,6986,11392,2252,4156,10217,4057,10511,2268,5337,9565,12073,9073,7696,11806,4086,14078,9375,5977,8795,10698,10850,7679,4874,6942,2357,9155,3538,12482,2908,8000,8148,4453,4283,13038,0,5128,9376,3873,10693,3388,4609,6858,10083,13565,2300,3516,4624,4674,1435,10696,1720,5750,9434,5228,4039,4792,3282,4576,2815,11310,10175,4708,2056,7014,5341,5785,11423,5938,3906,7883,12094,7757,5467,9467,10959,3831,8794,621,5021,3501,1436,10283,11373,11043,1491,8789,8038,6334,7597,11825,3515,9014,3019,5055,3542,8682,12048
38,8928,10913,5714,6240,13709,4934,4052,6709,7838,11283,6747,6799,14317,14390,15651,11881,10641,6689,16395,11692,6512,7922,10534,10878,5340,9128,7564,2604,8282,5856,10143,8016,5660,13715,7489,9080,10699,5165,0,7037,6909,8354,7397,4288,4518,12400,10057,5480,6848,5714,1896,5660,9531,3590,1322,11751,10487,1518,8708,7602,4255,4838,8970,6666,8962,6170,11267,1833,7879,9083,2009,8850,14461,14411,14335,7976,11784,10795,8589,11112,5210,7922,3362,4290,9207,7865,13360,4379,11107,13187,7864,11850,11035,7370,5506,7325,787,5354,14248,14365
39,11056,16413,7068,3954,19209,6771,4422,11577,8543,8054,8101,5794,10090,19890,14730,12963,3474,6023,21895,17191,5071,2329,5319,5087,2480,9660,4602,8104,2894,11355,4352,10042,1994,10862,6727,10791,4908,9423,7046,0,6315,2562,10634,9787,2751,17900,14925,7317,7269,5362,6482,7417,3793,8098,7441,17250,13503,5844,13067,8218,9754,6596,3179,11535,10184,7524,11292,6874,6581,3292,8928,11040,13302,19911,13216,7558,17284,5580,11510,16611,8080,7581,8861,6985,3992,12734,19118,6929,16606,10335,6566,11108,5244,8889,10374,8844,6615,6708,11396,19865
